donor_id,locality_tier,house_type,donation_2023,donation_2024,donation_2025,consistency_score,preferred_mode,earning_members,target_2026
DN-10000,TIER_2,INDEPENDENT_HOUSE,2000,2150,2300,0.9,CASH,4,2450
DN-10001,TIER_2,APARTMENT_FLAT,2050,2200,2350,1.0,CASH,2,2550
DN-10002,TIER_3,APARTMENT_FLAT,950,1050,1200,1.0,CASH,2,1250
DN-10003,TIER_2,CLINIC_PROFESSIONAL,0,1250,0,0.7,UPI,2,1250
DN-10004,TIER_2,APARTMENT_FLAT,2500,2850,3050,1.0,UPI,1,3400
DN-10005,TIER_1,INDEPENDENT_HOUSE,3950,4450,4950,1.0,UPI,3,5600
DN-10006,TIER_1,INDEPENDENT_HOUSE,3200,3650,4000,0.9,CASH,2,4200
DN-10007,TIER_2,APARTMENT_FLAT,900,1000,1050,1.0,CASH,2,1150
DN-10008,TIER_2,APARTMENT_FLAT,1400,1550,1650,1.0,CASH,2,1800
DN-10009,TIER_1,APARTMENT_FLAT,3100,3300,3750,1.0,CASH,1,4000
DN-10010,TIER_1,APARTMENT_FLAT,0,5000,5700,0.9,UPI,4,6250
DN-10011,TIER_2,INDEPENDENT_HOUSE,2550,2900,3150,1.0,CASH,2,3350
DN-10012,TIER_1,APARTMENT_FLAT,2050,2200,2350,0.9,UPI,4,2550
DN-10013,TIER_2,INDEPENDENT_HOUSE,1700,1850,2100,1.0,UPI,1,2300
DN-10014,TIER_1,APARTMENT_FLAT,2350,2550,2700,1.0,CASH,4,2800
DN-10015,TIER_3,CLINIC_PROFESSIONAL,0,1050,1150,0.7,UPI,3,1150
DN-10016,TIER_1,APARTMENT_FLAT,0,0,0,0.4,UPI,1,1300
DN-10017,TIER_2,APARTMENT_FLAT,1650,1850,2100,0.9,UPI,4,2200
DN-10018,TIER_1,COMMERCIAL_SHOP,1550,1700,1850,1.0,UPI,2,2050
DN-10019,TIER_1,APARTMENT_FLAT,4200,4400,5050,0.9,CASH,2,5350
DN-10020,TIER_1,APARTMENT_FLAT,3250,3700,4100,1.0,CASH,1,4650
DN-10021,TIER_3,INDEPENDENT_HOUSE,1200,1300,1400,1.0,CASH,1,1500
DN-10022,TIER_1,APARTMENT_FLAT,2250,2450,2550,0.9,UPI,2,2900
DN-10023,TIER_2,COMMERCIAL_SHOP,2400,2700,3050,1.0,CASH,1,3250
DN-10024,TIER_2,APARTMENT_FLAT,0,3750,4000,0.9,UPI,2,4200
DN-10025,TIER_2,APARTMENT_FLAT,550,600,650,0.9,CASH,2,750
DN-10026,TIER_1,APARTMENT_FLAT,2600,2800,3050,1.0,CASH,1,3450
DN-10027,TIER_3,INDEPENDENT_HOUSE,1000,1050,1150,1.0,CASH,2,1300
DN-10028,TIER_1,APARTMENT_FLAT,6950,7500,8350,1.0,UPI,1,8950
